Morpheme,Type,Count
re,Prefix,9
be,Prefix,8
ver,Prefix,8
er,Prefix,6
ge,Prefix,5
pro,Prefix,5
nach,Prefix,4
ab,Prefix,3
un,Prefix,3
an,Prefix,2
ein,Prefix,2
sub,Prefix,1
zu,Prefix,1
zer,Prefix,1
Energi,Root,16
Kraft,Root,14
Umwelt,Root,9
Druck,Root,6
Aus,Root,5
Fäh,Root,5
Trieb,Root,5
Welt,Root,5
Wir,Root,5
Ein,Root,5
Manag,Root,5
Gew,Root,4
Strom,Root,4
Wasser,Root,4
Steu,Root,4
Halt,Root,4
Arbeit,Root,4
Wirk,Root,4
Stand,Root,3
Hoch,Root,3
Lei,Root,3
Öko,Root,3
Schw,Root,3
Spa,Root,3
Kapi,Root,3
Duk,Root,3
Schärf,Root,3
Fes,Root,3
Här,Root,3
Stärk,Root,3
Para,Root,3
Satz,Root,3
Lauf,Root,3
Eig,Root,3
Ressource,Root,3
Effek,Root,3
Mög,Root,3
Kräf,Root,3
Entwickl,Root,2
Ständ,Root,2
Konsequ,Root,2
Niveau,Root,2
Art,Root,2
Wich,Root,2
Heiz,Root,2
Wärm,Root,2
Innova,Root,2
Ker,Root,2
Last,Root,2
Meng,Root,2
Wind,Root,2
Wuch,Root,2
Auf,Root,2
Strategi,Root,2
Mark,Root,2
Umsatz,Root,2
Konzep,Root,2
Form,Root,2
Pot,Root,2
Tat,Root,2
Alterna,Root,2
Dauer,Root,2
Krei,Root,2
Cyc,Root,2
Plan,Root,2
Schaff,Root,2
Neu,Root,2
Qualifika,Root,2
Vielf,Root,1
Faktor,Root,1
Sträng,Root,1
Deh,Root,1
Kennzei,Root,1
Posi,Root,1
Wer,Root,1
Atom,Root,1
Elektro,Root,1
Feu,Root,1
Fin,Root,1
Leuch,Root,1
Photovoltaik,Root,1
Solar,Root,1
Son,Root,1
Int,Root,1
Kalib,Root,1
Kla,Root,1
Trag,Root,1
Wei,Root,1
Geg,Root,1
Gleich,Root,1
Zerr,Root,1
Nat,Root,1
Durch,Root,1
Bau,Root,1
Sach,Root,1
Qualita,Root,1
Verb,Root,1
Potenzi,Root,1
Struk,Root,1
Globalisi,Root,1
Mega,Root,1
Fusio,Root,1
Natio,Root,1
Komm,Root,1
Schäf,Root,1
Prozess,Root,1
Norma,Root,1
Schlüssel,Root,1
Ökonom,Root,1
Duktionskapi,Root,1
Stitui,Root,1
Pioni,Root,1
Dring,Root,1
Tensio,Root,1
Derb,Root,1
Dich,Root,1
Robu,Root,1
Stabil,Root,1
Streng,Root,1
Widerstand,Root,1
Pro,Root,1
Elektromobil,Root,1
Tech,Root,1
Höh,Root,1
Kopfeinkomm,Root,1
Lag,Root,1
Führ,Root,1
Dynamik,Root,1
Gab,Root,1
Serv,Root,1
Roll,Root,1
Kollabora,Root,1
Pla,Root,1
Koopera,Root,1
Gleichmäß,Root,1
Die,Root,1
Wiederkehr,Root,1
Rücksetz,Root,1
Fall,Root,1
Meid,Root,1
Circular,Root,1
Economy,Root,1
Downcyc,Root,1
Spar,Root,1
Scho,Root,1
Flä,Root,1
Landsachaftsentwickl,Root,1
Land,Root,1
Raumentwickl,Root,1
Risiko,Root,1
Bew,Root,1
Rückgewi,Root,1
Schadstoffausschoß,Root,1
Schad,Root,1
Stoff,Root,1
Missio,Root,1
Schadstoffmobil,Root,1
Schadstoff,Root,1
Duzi,Root,1
Sonderabfallsamml,Root,1
Sondermüllabgab,Root,1
Prüf,Root,1
Investi,Root,1
Mes,Root,1
Ökonomi,Root,1
Schutz,Root,1
Technik,Root,1
Technologie,Root,1
Nutz,Root,1
Wie,Root,1
Der,Root,1
Gewi,Root,1
Tificierungsverfahr,Root,1
Basi,Root,1
Flu,Root,1
Folg,Root,1
Funk,Root,1
Krea,Root,1
Neb,Root,1
Reak,Root,1
Alisi,Root,1
Rück,Root,1
Schließ,Root,1
Schöpf,Root,1
Vollzieh,Root,1
Wohl,Root,1
Bank,Root,1
Sin,Root,1
Will,Root,1
Fleiß,Root,1
Duld,Root,1
Ste,Root,1
Müd,Root,1
Lus,Root,1
Mei,Root,1
Nach,Root,1
Mensch,Root,1
Ternehm,Root,1
Gei,Root,1
Quell,Root,1
Träg,Root,1
Motiva,Root,1
Qualifizi,Root,1
Ballast,Root,1
Bär,Root,1
Körp,Root,1
Präg,Root,1
Rie,Root,1
Hem,Root,1
Käl,Root,1
Kon,Root,1
Res,Root,1
Rühr,Root,1
Teil,Root,1
Satzteilerhäl,Root,1
Wach,Root,1
Rohstoff,Root,1
Füg,Root,1
e,Suffix,49
t,Suffix,47
ung,Suffix,39
s,Suffix,33
n,Suffix,26
keit,Suffix,20
er,Suffix,19
en,Suffix,18
ig,Suffix,15
tion,Suffix,15
al,Suffix,10
te,Suffix,9
enz,Suffix,7
st,Suffix,6
schaft,Suffix,6
ur,Suffix,5
ment,Suffix,5
iv,Suffix,4
bar,Suffix,4
lich,Suffix,4
ität,Suffix,3
sam,Suffix,3
heit,Suffix,3
ling,Suffix,3
chen,Suffix,2
anz,Suffix,2
ens,Suffix,2
isch,Suffix,2
end,Suffix,2
ist,Suffix,2
es,Suffix,1
